date,ticker,sector,headline_count,word_count,finance_term_count,sentiment_model,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score
2020-12-03,USB,Financials,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,V,Financials,3,22,1,finance_lexicon_baseline,0.0,0.9545454545454546,0.045454545454545456,1.0
2020-12-03,WFC,Financials,6,53,0,finance_lexicon_baseline,0.0,0.9811320754716981,0.018867924528301886,1.0
2020-12-03,WMT,Consumer,12,113,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-03,XOM,Energy,2,16,1,finance_lexicon_baseline,0.0625,0.9375,0.0,-1.0
2020-12-04,ABBV,Healthcare,3,20,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,ADBE,Tech,2,25,0,finance_lexicon_baseline,0.0,0.96,0.04,1.0
2020-12-04,AMD,Tech,2,16,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,AMGN,Healthcare,1,11,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,AMT,RealEstate,1,8,0,finance_lexicon_baseline,0.0,0.875,0.125,1.0
2020-12-04,BA,Industrials,8,85,3,finance_lexicon_baseline,0.023529411764705882,0.9529411764705882,0.023529411764705882,0.0
2020-12-04,CAT,Industrials,2,11,0,finance_lexicon_baseline,0.0,0.9090909090909091,0.09090909090909091,1.0
2020-12-04,COP,Energy,2,16,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,CVX,Energy,11,100,0,finance_lexicon_baseline,0.01,0.94,0.05,0.6666666666666666
2020-12-04,DIS,Consumer,6,44,3,finance_lexicon_baseline,0.022727272727272728,0.8636363636363636,0.11363636363636363,0.6666666666666666
2020-12-04,EA,Comm,2,15,0,finance_lexicon_baseline,0.0,0.9333333333333333,0.06666666666666667,1.0
2020-12-04,GE,Industrials,2,16,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,GS,Financials,3,28,1,finance_lexicon_baseline,0.0,0.9642857142857143,0.03571428571428571,1.0
2020-12-04,INTC,Tech,2,22,1,finance_lexicon_baseline,0.0,0.9545454545454546,0.045454545454545456,1.0
2020-12-04,KO,Consumer,1,6,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,MMM,Industrials,1,9,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,MRK,Healthcare,4,29,2,finance_lexicon_baseline,0.034482758620689655,0.896551724137931,0.06896551724137931,0.3333333333333333
2020-12-04,MS,Financials,3,23,1,finance_lexicon_baseline,0.0,0.9565217391304348,0.043478260869565216,1.0
2020-12-04,NEE,Utilities,1,9,1,finance_lexicon_baseline,0.0,0.8888888888888888,0.1111111111111111,1.0
2020-12-04,NKE,Consumer,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
