date,sector,sentiment_score,ticker_count,tickers_with_headlines,headline_count,sentiment_lag1
2022-04-08,Energy,0.58824,5,4,20,0.4326
2022-04-08,Financials,0.3419,5,5,31,0.21012
2022-04-08,Healthcare,0.57184,5,5,14,0.15566
2022-04-08,Industrials,0.19214,5,3,8,0.12344
2022-04-08,Materials,0.03558,5,3,5,0.059199999999999996
2022-04-08,RealEstate,0.059199999999999996,5,3,3,0.09008
2022-04-08,Tech,0.7488,5,5,25,0.58364
2022-04-08,Utilities,0.0,5,0,0,0.021799999999999996
2022-04-11,Comm,0.18575999999999998,5,3,20,0.17614000000000002
2022-04-11,Consumer,0.67348,5,5,33,0.37421999999999994
2022-04-11,Energy,0.67958,5,4,20,0.58824
2022-04-11,Financials,-0.03512,5,5,40,0.3419
2022-04-11,Healthcare,0.33592,5,5,14,0.57184
2022-04-11,Industrials,0.10546000000000003,5,4,17,0.19214
2022-04-11,Materials,0.25354,5,2,4,0.03558
2022-04-11,RealEstate,-0.051000000000000004,5,4,9,0.059199999999999996
2022-04-11,Tech,0.85584,5,5,55,0.7488
2022-04-11,Utilities,0.20424000000000003,5,3,4,0.0
2022-04-12,Comm,0.34072,5,3,9,0.18575999999999998
2022-04-12,Consumer,0.18517999999999998,5,3,13,0.67348
2022-04-12,Energy,0.53104,5,5,21,0.67958
2022-04-12,Financials,0.24623999999999996,5,4,26,-0.03512
2022-04-12,Healthcare,0.32708000000000004,5,5,16,0.33592
2022-04-12,Industrials,0.015500000000000014,5,4,10,0.10546000000000003
2022-04-12,Materials,0.36592,5,4,14,0.25354
2022-04-12,RealEstate,0.42694,5,5,9,-0.051000000000000004
2022-04-12,Tech,0.22354000000000002,5,5,15,0.85584
2022-04-12,Utilities,0.2279,5,4,4,0.20424000000000003
2022-04-13,Comm,0.41340000000000005,5,4,10,0.34072
2022-04-13,Consumer,0.12320000000000002,5,5,16,0.18517999999999998
2022-04-13,Energy,0.65988,5,4,28,0.53104
2022-04-13,Financials,0.59404,5,5,36,0.24623999999999996
2022-04-13,Healthcare,0.12390000000000001,5,5,12,0.32708000000000004
2022-04-13,Industrials,0.05498000000000001,5,3,5,0.015500000000000014
2022-04-13,Materials,0.41100000000000003,5,4,9,0.36592
2022-04-13,RealEstate,-0.0036799999999999945,5,2,5,0.42694
2022-04-13,Tech,0.50726,5,5,26,0.22354000000000002
2022-04-13,Utilities,0.0,5,1,1,0.2279
2022-04-14,Comm,0.024440000000000007,5,4,10,0.41340000000000005
2022-04-14,Consumer,0.21422,5,5,21,0.12320000000000002
2022-04-14,Energy,0.35884,5,4,8,0.65988
2022-04-14,Financials,0.75816,5,5,83,0.59404
2022-04-14,Healthcare,0.023239999999999993,5,4,15,0.12390000000000001
2022-04-14,Industrials,0.11438,5,3,4,0.05498000000000001
2022-04-14,Materials,0.2271,5,5,11,0.41100000000000003
2022-04-14,RealEstate,0.38812,5,3,8,-0.0036799999999999945
2022-04-14,Tech,0.004959999999999997,5,5,25,0.50726
2022-04-14,Utilities,0.09022,5,2,2,0.0
2022-04-18,Comm,-0.041739999999999985,5,5,17,0.024440000000000007
2022-04-18,Consumer,0.38366,5,5,30,0.21422
